Parameter,Status,Config key (YAML/JSON),Default / Example,Device value (Volcano s5i — from Service Manual),Source,Description,Code location & notes
"--- PROBE / DEVICE ---",,,,,,,
Probe type,Config,probe.type,ivus,ivus (synthetic-aperture 64-element array),Manual p.165 / p.135,Selects probe model (ivus | curvilinear | linear_array | phased_array),Selects BaseProbe subclass and ray-gen path. For Volcano s5i use ivus.
Transducer frequency,Config,probe.frequency_mhz,40 (sim default),"20 MHz: Avanar F/X, Eagle Eye Gold, Visions PV .018; 10 MHz: Visions PV 8.2F",Manual p.165 (Catheter Specifications),Center frequency of the emitted pulse,"BaseProbe::frequency_. Drives PSF cosine modulation and Beer–Lambert f·d term."
Pulse duration (bandwidth proxy),Config,probe.pulse_duration_cycles,2,Not specified (measure with -6 dB BW from reflector),Measurement,Number of cycles in the excitation pulse; sets axial PSF extent for IVUS,"BaseProbe::pulse_duration_. For IVUS drives create_ivus_axial_psf_causal kernel extent (extent_mm = n·λ)."
Number of scanlines,Config,probe.num_scanlines,256,~256 reconstructed lines from 64 physical elements (synthetic aperture),Manual p.165 (64-element array) + image-derived,Number of A-lines per frame (angular rays for IVUS),"BaseProbe::num_elements_x_ (IVUSProbe::num_angular_rays). 64-elem SA reconstructs ~256 A-lines."
Element radius,Config,probe.element_radius_mm,0.6,"Transducer assembly ~1 mm diameter × 2.5 mm length, 64 elements (per-element radius not given — measure via wire phantom)",Manual p.135 (transducer dims),Effective radius of focused IVUS element; sets Gaussian-beam waist w0 = λF/(2a),"IVUSProbe::element_radius_mm_. Drives depth-dependent lateral PSF (psf_lat_2d_)."
Focal length,Config,probe.focal_length_mm,4.0,Not specified (fit from a wire-phantom lateral-PSF curve),Measurement,Depth at which the IVUS beam is narrowest,"IVUSProbe::focal_length_mm_. Used with element_radius_mm in Gaussian-beam model."
Elevational height,Config,probe.elevational_height_mm,0.0,~2.5 mm (transducer length; effective slice thickness is smaller — measure),Manual p.135 + measurement,Out-of-plane transducer extent; sets slice thickness,"BaseProbe::elevational_height_. 0 = single 2D plane."
Number of elevational samples,Config,probe.num_elevational_samples,1,Sim setting (not a device parameter),—,Number of ray planes in elevation; cost vs slice-thickness fidelity,"BaseProbe::num_el_samples_."
Speed of sound (probe),Config,probe.speed_of_sound_mm_per_us,1.54,Assumed ~1540 m/s (calibration: 6.0 mm water target with ±0.1 mm tolerance),Manual p.110 (calibration test),Used by probe geometry (PSF grid spacing) and refraction setup,"BaseProbe::speed_of_sound_."
